City,Lat,Lng,Max Temp,Humidity,Country,Date,Cloudiness,Wind Speed
ushuaia,-54.8,-68.3,37.06,81,AR,1650856675,0,5.75
oberstdorf,47.4,10.2833,42.35,94,DE,1650856676,100,4.0
guerrero negro,27.9769,-114.0611,65.28,60,MX,1650856676,0,18.77
perg,48.25,14.6333,49.42,92,AT,1650856676,100,11.79
grand-santi,4.25,-54.3833,72.84,99,GF,1650856677,97,2.17
beringovskiy,63.05,179.3167,29.59,77,RU,1650856677,100,12.53
chokurdakh,70.6333,147.9167,11.25,90,RU,1650856677,43,5.06
pisco,-13.7,-76.2167,67.01,88,PE,1650856481,100,4.61
laguna,38.421,-121.4238,73.54,42,US,1650856678,0,8.05
qaanaaq,77.484,-69.3632,-0.36,64,GL,1650856678,57,7.43
sergiyevsk,53.9413,51.165,50.58,77,RU,1650856679,82,4.38
puerto ayora,-0.7393,-90.3518,72.0,91,EC,1650856679,68,7.11
palmer,42.1584,-72.3287,48.49,67,US,1650856679,20,5.75
jamestown,42.097,-79.2353,71.24,55,US,1650856481,0,6.91
atuona,-9.8,-139.0333,78.89,77,PF,1650856680,24,18.63
khatanga,71.9667,102.5,5.79,90,RU,1650856680,89,5.46
hamilton,39.1834,-84.5333,73.35,58,US,1650856544,20,6.91
seminole,28.7086,-81.2081,74.21,86,US,1650856406,40,6.91
hithadhoo,-0.6,73.0833,83.97,73,MV,1650856681,100,6.8
kosikha,53.3617,84.5822,38.61,49,RU,1650856681,7,5.68
kirakira,-10.4544,161.9205,83.57,75,SB,1650856681,98,4.05
faanui,-16.4833,-151.75,81.03,73,PF,1650856682,26,6.76
barrow,71.2906,-156.7887,17.62,79,US,1650856501,75,11.5
hazorasp,41.3194,61.0742,55.24,35,UZ,1650856682,15,7.18
cape town,-33.9258,18.4232,58.91,72,ZA,1650856683,0,5.99
komsomolskiy,40.4272,71.7189,57.92,88,UZ,1650856683,75,6.91
new norfolk,-42.7826,147.0587,59.67,67,AU,1650856683,100,1.59
fukuma,33.7667,130.4667,85.28,64,JP,1650856684,52,3.71
busselton,-33.65,115.3333,71.31,50,AU,1650856684,100,12.41
oranjemund,-28.55,16.4333,51.84,83,NA,1650856685,0,10.6
iqaluit,63.7506,-68.5145,22.69,85,CA,1650856685,100,18.99
goderich,43.7501,-81.7165,62.91,98,CA,1650856519,100,14.79
jinchang,38.4953,102.1739,69.03,17,CN,1650856685,6,17.83
butaritari,3.0707,172.7902,81.68,77,KI,1650856686,65,13.09
bluff,-46.6,168.3333,53.8,77,NZ,1650856686,97,26.51
kruisfontein,-34.0033,24.7314,52.88,79,ZA,1650856686,98,6.38
turek,52.0155,18.5005,46.62,96,PL,1650856687,100,12.53
rajula,21.05,71.4333,90.81,23,IN,1650856687,0,15.35
severo-kurilsk,50.6789,156.125,33.82,94,RU,1650856687,90,3.18
qaqortoq,60.7167,-46.0333,34.68,92,GL,1650856412,100,3.74
rikitea,-23.1203,-134.9692,72.72,85,PF,1650856688,100,13.8
cap malheureux,-19.9842,57.6142,75.47,72,MU,1650856688,61,4.0
thompson,55.7435,-97.8558,10.4,71,CA,1650856519,4,12.39
noumea,-22.2763,166.4572,80.01,99,NC,1650856689,100,16.96
ribeira grande,38.5167,-28.7,58.68,75,PT,1650856689,16,14.85
vaini,-21.2,-175.2,78.96,78,TO,1650856675,75,6.91
nanortalik,60.1432,-45.2371,36.16,92,GL,1650856690,100,8.95
acari,-15.4311,-74.6158,70.02,82,PE,1650856690,99,3.11
candelaria,13.9311,121.4233,85.39,53,PH,1650856690,89,6.91
sitka,57.0531,-135.33,46.29,76,US,1650856691,75,9.22
laela,-8.5667,32.05,59.38,97,TZ,1650856691,100,2.28
camana,-16.6228,-72.7111,68.02,87,PE,1650856692,73,6.78
nikolskoye,59.7035,30.7861,44.87,98,RU,1650856692,100,5.08
matara,5.9485,80.5353,83.39,75,LK,1650856692,86,1.95
ostrovnoy,68.0531,39.5131,33.82,96,RU,1650856693,99,8.23
mataura,-46.1927,168.8643,53.47,82,NZ,1650856693,92,12.86
punta arenas,-53.15,-70.9167,42.91,87,CL,1650856454,100,10.36
vardo,70.3705,31.1107,34.03,92,NO,1650856694,100,5.84
gympie,-26.1898,152.665,66.18,62,AU,1650856694,97,10.89
iaciara,-14.0958,-46.6317,73.63,58,BR,1650856695,61,2.59
sao filipe,14.8961,-24.4956,74.08,74,CV,1650856695,8,4.34
lebu,-37.6167,-73.65,50.43,78,CL,1650856695,13,4.68
hilo,19.7297,-155.09,81.28,82,US,1650856696,100,10.36
huarmey,-10.0681,-78.1522,68.2,86,PE,1650856696,88,10.04
